accession_number,title,description,date_created,file,file,file,type,admin_set_id,rights_statement,status,preservation_level,creator,creator,nul_creator,contributor,artist,photographer,nul_contributor,license,genre,genre,keyword,keyword,language,language,nul_use_statement,abstract,abstract,alternate_title,alternate_title,resource_type,related_url,related_url,rights_holder,style_period,style_period,subject,subject_topical,subject_geographical,caption,catalog_key,folder_name,folder_number,box_name,box_number,identifier,physical_description_material,physical_description_size,project_cycle,project_description,proposer,visibility,technique,task_number,source
example.1111,Arbitrary Chemistry: A Juried Show of Progress,"Donec ac dui sit amet eros blandit sodales. Morbi ac aliquet justo. Vivamus sollicitudin, est pharetra venenatis tincidunt, enim velit luctus nisi, id lobortis ipsum ipsum quis sapien. Donec at tortor mollis, tempus ligula vel, dictum nisl. Etiam pulvinar leo in sapien interdum euismod.",2003-24,files/water.jpg,files/dog.jpg,files/earth.tif,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Augustus,http://id.loc.gov/authorities/names/n80144605,http://id.loc.gov/authorities/names/n87102497,,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,,botanic,,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,Chocolate sesame snaps carrot cake croissant tootsie roll fruitcake. Oat cake sweet roll cupcake. ,This is an alternate title 1,This is another alternate_title 1,Map or Cartographic Material,http://library.northwestern.edu,http://northwestern.edu,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1234,Folder 29,Folder Number 34,Box 29,Box Number 1001,nul.948710423,wood,2000 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.2222,For Love of Ground: Defying Social Practice,"Aliquam libero odio, laoreet non dolor sit amet",196x,files/earth.tif,,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Augustus,http://id.loc.gov/authorities/names/n80144605,http://id.loc.gov/authorities/names/n87102497,,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,,botanic,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,Chocolate sesame snaps carrot cake croissant tootsie roll fruitcake. Oat cake sweet roll cupcake. ,This is an alternate title 2,This is another alternate_title 2,Map or Cartographic Material,http://library.northwestern.edu,http://northwestern.edu,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1235,Folder 29,Folder Number 35,Box 29,Box Number 1002,nul.948710424,wood,2001 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.3333,Apposite Dissent: Media Art and Dilettantism,"In in lorem quis quam tincidunt suscipit quis eu augue. Etiam sed scelerisque nisl, id convallis ligula. ","{1667,1668, 1670..1672}",files/coffee.jpg,files/nul.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Augustus,http://id.loc.gov/authorities/names/n80144605,http://id.loc.gov/authorities/names/n87102497,,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,,botanic,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,Chocolate sesame snaps carrot cake croissant tootsie roll fruitcake. Oat cake sweet roll cupcake. ,This is an alternate title 3,This is another alternate_title 3,Map or Cartographic Material,http://library.northwestern.edu,http://northwestern.edu,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1236,Folder 29,Folder Number 36,Box 29,Box Number 1003,nul.948710425,wood,2002 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.4444,For Love of History: A Retrospective of Complacency,"Etiam tempus ornare egestas. Curabitur metus magna, fermentum vel nunc sed, scelerisque dignissim orci. Praesent mauris erat, convallis id dui id, tempor venenatis ante. Morbi iaculis nunc finibus, eleifend turpis eget, consequat lacus. Maecenas convallis tellus molestie tristique blandit. ",1984-06?/2004-08?,files/dog.jpg,files/water.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Augustus,http://id.loc.gov/authorities/names/n80144605,http://id.loc.gov/authorities/names/n87102497,,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,,botanic,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,Chocolate sesame snaps carrot cake croissant tootsie roll fruitcake. Oat cake sweet roll cupcake. ,This is an alternate title 4,This is another alternate_title 4,Map or Cartographic Material,http://library.northwestern.edu,http://northwestern.edu,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1237,Folder 29,Folder Number 37,Box 29,Box Number 1004,nul.948710426,wood,2003 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.5555,The Bureaucracies of Sustainability: The Video Art of Remediation,"Maecenas quis diam luctus, aliquet ex in, faucibus tellus. ",1984?~,files/nul.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Augustus,http://id.loc.gov/authorities/names/n80144605,http://id.loc.gov/authorities/names/n87102497,http://id.loc.gov/authorities/names/n87102501,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,http://vocab.getty.edu/aat/300386099,botanic,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,Chocolate sesame snaps carrot cake croissant tootsie roll fruitcake. Oat cake sweet roll cupcake. ,This is an alternate title 5,This is another alternate_title 5,Map or Cartographic Material,http://library.northwestern.edu,http://northwestern.edu,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1238,Folder 29,Folder Number 38,Box 29,Box Number 1005,nul.948710427,wood,2004 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,restricted,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.6666,Parsing Dilettantes: A Remix of Too Many Dinner Parties,"Proin est lorem, aliquet ut tellus non, placerat aliquam sapien.",1999-03-uu,files/water.jpg,files/coffee.jpg,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Augustus,http://id.loc.gov/authorities/names/n80144605,http://id.loc.gov/authorities/names/n87102497,,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 6,This is another alternate_title 6,Map or Cartographic Material,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1239,Folder 29,Folder Number 39,Box 29,Box Number 1006,nul.948710428,wood,2005 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.7777,Fantastic Dreams: Figuring Sameness,,196u,files/coffee.jpg,files/earth.tif,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n87102497,,Marcel Duchamp,,http://vocab.getty.edu/aat/300070114,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 7,This is another alternate_title 7,Map or Cartographic Material,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1240,Folder 29,Folder Number 40,Box 29,Box Number 1007,nul.948710429,wood,2006 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.8888,Archaeological Charm: The Politics of Aesthetic Forms and Their Opposites,"Proin est lorem, aliquet ut tellus non, placerat aliquam sapien.",1720~,files/dog.jpg,,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,,,Marcel Duchamp,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 8,This is another alternate_title 8,Map or Cartographic Material,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1241,Folder 29,Folder Number 41,Box 29,Box Number 1008,nul.948710430,wood,2007 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.9999,Mediating Illusion: A Retrospective of the Avant Garde,"Aliquam libero odio, laoreet non dolor sit amet","[1622,1623]",files/earth.tif,,,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,,,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 9,This is another alternate_title 9,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1242,Folder 29,Folder Number 42,Box 29,Box Number 1009,nul.948710431,wood,2008 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
example.aaaa,Alchemical Properties: 15 Years of Dilettantism,"Etiam tempus ornare egestas. Curabitur metus magna, fermentum vel nunc sed, scelerisque dignissim orci. Praesent mauris erat, convallis id dui id, tempor venenatis ante. Morbi iaculis nunc finibus, eleifend turpis eget, consequat lacus. Maecenas convallis tellus molestie tristique blandit. ","[1762-05-15,1764-05-07]",files/nul.jpg,files/dog.jpg,files/coffee.jpg,Image,admin_set/default,http://rightsstatements.org/vocab/NoC-NC/1.0/,In progress,1,http://id.loc.gov/authorities/names/n79038450,http://id.loc.gov/authorities/names/n85819387,Bob Dylan,http://id.loc.gov/authorities/names/n79086870,http://id.loc.gov/authorities/names/n81023070,,,http://creativecommons.org/publicdomain/zero/1.0/,http://vocab.getty.edu/aat/300070114,http://vocab.getty.edu/aat/300386099,,photography,http://id.loc.gov/vocabulary/languages/eng,http://id.loc.gov/vocabulary/languages/ger,"Cliche kale chips subway tile, semiotics master cleanse kitsch forage helvetica iceland shoreditch chicharrones. Green juice craft beer fanny pack, chambray man bun austin hell of put a bird on it",Dessert croissant jelly beans chocolate biscuit cake muffin. Chocolate bar gummies toffee sweet roll.,,This is an alternate title 10,This is another alternate_title 10,Image,http://library.northwestern.edu,,Northwestern,http://vocab.getty.edu/aat/300053276,http://vocab.getty.edu/aat/300264827,History,http://id.loc.gov/authorities/subjects/sh85007461,http://id.loc.gov/authorities/names/n79021184,Bacon ipsum dolor amet frankfurter burgdoggen doner shankle cupim sausage.,alma-1243,Folder 29,Folder Number 43,Box 29,Box Number 1010,nul.948710432,wood,2009 x 400,first,"Jump around on couch, meow constantly until given food, .",Person A,open,http://vocab.getty.edu/aat/300053462,"7,000,009",Original Materials
